[main] DEBUG | org.springframework.context.annotation.ClassPathBeanDefinitionScanner | Identified candidate component class: file [/home/excilys/Bureau/cdb/target/classes/com/excilys/cdb/persistence/mapper/DBCompanyMapper.class] (ClassPathScanningCandidateComponentProvider.java:435)
[main] TRACE | org.springframework.context.annotation.ClassPathBeanDefinitionScanner | Scanning file [/home/excilys/Bureau/cdb/target/classes/com/excilys/cdb/persistence/mapper/DBComputerMapper.class] (ClassPathScanningCandidateComponentProvider.java:425)
[main] DEBUG | org.springframework.context.annotation.ClassPathBeanDefinitionScanner | Identified candidate component class: file [/home/excilys/Bureau/cdb/target/classes/com/excilys/cdb/persistence/mapper/DBComputerMapper.class] (ClassPathScanningCandidateComponentProvider.java:435)
[main] TRACE | org.springframework.core.io.support.PathMatchingResourcePatternResolver | Resolved classpath location [com/excilys/cdb/controller/] to resources [URL [file:/home/excilys/Bureau/cdb/target/classes/com/excilys/cdb/controller/]] (PathMatchingResourcePatternResolver.java:323)
[main] TRACE | org.springframework.core.io.support.PathMatchingResourcePatternResolver | Looking for matching resources in directory tree [/home/excilys/Bureau/cdb/target/classes/com/excilys/cdb/controller] (PathMatchingResourcePatternResolver.java:733)
[main] TRACE | org.springframework.core.io.support.PathMatchingResourcePatternResolver | Searching directory [/home/excilys/Bureau/cdb/target/classes/com/excilys/cdb/controller] for files matching pattern [/home/excilys/Bureau/cdb/target/classes/com/excilys/cdb/controller/**/*.class] (PathMatchingResourcePatternResolver.java:795)
[main] TRACE | org.springframework.core.io.support.PathMatchingResourcePatternResolver | Resolved location pattern [classpath*:com/excilys/cdb/controller/**/*.class] to resources [file [/home/excilys/Bureau/cdb/target/classes/com/excilys/cdb/controller/CLIController.class], file [/home/excilys/Bureau/cdb/target/classes/com/excilys/cdb/controller/DBController.class]] (PathMatchingResourcePatternResolver.java:520)
[main] TRACE | org.springframework.context.annotation.ClassPathBeanDefinitionScanner | Scanning file [/home/excilys/Bureau/cdb/target/classes/com/excilys/cdb/controller/CLIController.class] (ClassPathScanningCandidateComponentProvider.java:425)
[main] DEBUG | org.springframework.context.annotation.ClassPathBeanDefinitionScanner | Identified candidate component class: file [/home/excilys/Bureau/cdb/target/classes/com/excilys/cdb/controller/CLIController.class] (ClassPathScanningCandidateComponentProvider.java:435)
[main] TRACE | org.springframework.context.annotation.ClassPathBeanDefinitionScanner | Scanning file [/home/excilys/Bureau/cdb/target/classes/com/excilys/cdb/controller/DBController.class] (ClassPathScanningCandidateComponentProvider.java:425)
[main] DEBUG | org.springframework.context.annotation.ClassPathBeanDefinitionScanner | Identified candidate component class: file [/home/excilys/Bureau/cdb/target/classes/com/excilys/cdb/controller/DBController.class] (ClassPathScanningCandidateComponentProvider.java:435)
[main] TRACE | org.springframework.core.io.support.PathMatchingResourcePatternResolver | Resolved classpath location [com/excilys/cdb/service/] to resources [URL [file:/home/excilys/Bureau/cdb/target/classes/com/excilys/cdb/service/]] (PathMatchingResourcePatternResolver.java:323)
[main] TRACE | org.springframework.core.io.support.PathMatchingResourcePatternResolver | Looking for matching resources in directory tree [/home/excilys/Bureau/cdb/target/classes/com/excilys/cdb/service] (PathMatchingResourcePatternResolver.java:733)
[main] TRACE | org.springframework.core.io.support.PathMatchingResourcePatternResolver | Searching directory [/home/excilys/Bureau/cdb/target/classes/com/excilys/cdb/service] for files matching pattern [/home/excilys/Bureau/cdb/target/classes/com/excilys/cdb/service/**/*.class] (PathMatchingResourcePatternResolver.java:795)
